ItemNumber,frase,genero,class_originais,class_novas,classificacao_substituida
27,"Fui sábado no salão pra fazer progressiva, finalmente cabelo bom e não cabelo ruim, não tava aguentando aquela Palha.",masculino,"['negativa', 'positiva', 'positiva', 'negativa']","['negativa', 'positiva', 'positiva', 'positiva']",positiva
30,"Alias ninguém nunca se importou em ao menos saber se eu estava bem, ou se estava precisando de ajuda.",masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
32,"Mas estas pessoas são só inúmeros mortais que falam o que da na telha, literalmente, eles não sabem nada sobre mim, e muito menos, sobre o que eu penso.",masculino,"['positiva', 'negativa', 'positiva', 'negativa']","['positiva', 'negativa', 'positiva', 'positiva']",positiva
35,"Bom hoje começo escrever meu diário virtual, já que não tenho um único amigo pra me ouvir quando preciso.",masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
37,Minha vida é um sofrimento interno e eterno.,masculino,"['negativa', 'positiva', 'negativa', 'positiva']","['negativa', 'positiva', 'negativa', 'negativa']",negativa
38,O irmão mais velho entregou o material e foi para a cidade.,masculino,"['neutra', 'positiva', 'neutra', 'positiva']","['neutra', 'positiva', 'neutra', 'neutra']",neutra
49,"Ultimamente ando muito compulsiva - por masturbação com o vibrador, por comida, meio agressiva, me sacudindo, me mordendo, me azunhando.",masculino,"['negativa', 'positiva', 'negativa', 'positiva']","['negativa', 'positiva', 'negativa', 'negativa']",negativa
52,"Vejo que sou rodeada de pessoas falsas, homens safados mentirosos quando penso que encontrei alguém diferente, é engano, só mas um falso e mentiroso.",masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
54,"Bem quando o meu filho fez 5 meses eu conheci um amigo da minha irmã, a principio foi uma amizade mais com menos de 15 dias demos nosso 1º beijo e nossa que beijo delicioso pronto foi paixão na certa.",masculino,"['positiva', 'negativa', 'positiva', 'negativa']","['positiva', 'negativa', 'positiva', 'positiva']",positiva
55,"Cachorro, obrigada por estar lá enquanto eu sofria bullying, e fiquei anoréxica por causa de comentários idiotas e banais que não mudariam minha vida se eu não ligasse.",masculino,"['neutra', 'negativa', 'negativa', 'neutra']","['neutra', 'negativa', 'negativa', 'negativa']",negativa
57,Hoje eu sair com uns amigos.,masculino,"['neutra', 'positiva', 'neutra', 'positiva']","['neutra', 'positiva', 'neutra', 'neutra']",neutra
63,"To cansada de brigar com a minha mae, dela nunca estar do meu lado.",masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
69,Ate que com 15 anos praticamente fugi de casa e ate hoje com 20 anos não voltei mais.,masculino,"['neutra', 'negativa', 'negativa', 'neutra']","['neutra', 'negativa', 'negativa', 'negativa']",negativa
87,"Eu saía cedo de casa e voltava muito tarde, isso quando eu voltava.",masculino,"['negativa', 'positiva', 'negativa', 'positiva']","['negativa', 'positiva', 'negativa', 'negativa']",negativa
102,"Até cheirar cola já pensei em fazer, na verdade foi uma coisa mais simbólica do meu desespero, sabia que não ia adiantar em nada.",masculino,"['negativa', 'positiva', 'negativa', 'positiva']","['negativa', 'positiva', 'negativa', 'negativa']",negativa
105,Eu tive que voltar cedinho pra casa como se eu tivesse ido pra uma balada mas acabo que nem deu nada.,masculino,"['neutra', 'negativa', 'neutra', 'negativa']","['neutra', 'negativa', 'neutra', 'neutra']",neutra
112,"Depois desta experiência, toda vez ela queria que eu fosse um homem na cama, e logo comecei a questionar o porque destas atitudes.",masculino,"['negativa', 'neutra', 'neutra', 'negativa']","['negativa', 'neutra', 'neutra', 'neutra']",neutra
116,O tempo sempre ajuda mas as vezes 1 minuto sozinha dentro desse quarto escuro parece tanto tempo a mais.,masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
118,Tinha um lá O diário de Biloca é um livrinho pequeno e curto.,masculino,"['neutra', 'negativa', 'neutra', 'negativa']","['neutra', 'negativa', 'neutra', 'neutra']",neutra
124,Os momentos ao seu lado são sempre tão perfeitos sabe.,masculino,"['positiva', 'neutra', 'positiva', 'neutra']","['positiva', 'neutra', 'positiva', 'positiva']",positiva
125,Falei com meu ex.,masculino,"['neutra', 'positiva', 'neutra', 'positiva']","['neutra', 'positiva', 'neutra', 'neutra']",neutra
130,"Sozinha num mundo onde apenas sentimentos falsos importam, onde todos acreditam na mentira por medo de admitir a verdade, por medo que a verdade não seja aquilo que esperas.",masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
141,"Não consigo, a minha vida acabou, não sei o que fazer.",masculino,"['negativa', 'neutra', 'negativa', 'neutra']","['negativa', 'neutra', 'negativa', 'negativa']",negativa
