ItemNumber, cla_maj_femi, qtd_maj_femi, cla_maj_masc, qtd_maj_masc, f1_class, f2_class, f3_class, f4_class, m1_class, m2_class, m3_class, m4_class, f1_tempo, f2_tempo, f3_tempo, f4_tempo, m1_tempo, m2_tempo, m3_tempo, m4_tempo
         1, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,   30.117,  293.973,   21.735,   39.664,  105.63 ,   16.967,  299.204,   14.928
         2, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, negativa, positiva, positiva,   13.839,  237.617,   83.358,   24.249,   22.499,    9.802,   11.472,    6.073
         3, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, positiva, negativa, neutra  ,   15.344,   13.894,    8.584,  133.325,   20.098,    8.17 ,   16.59 ,   13.952
         4, neutra      ,            2, neutra      ,            3, neutra  , negativa, neutra  , positiva, positiva, neutra  , neutra  , neutra  ,   16.747,   16.986,   10.61 ,   10.337,   33.871,   11.848,   22.167,    9.798
         5, positiva    ,            3, positiva    ,            3, positiva, positiva, negativa, positiva, positiva, positiva, positiva, neutra  ,    8.405,   14.191,    3.9  ,    5.129,    8.789,    3.306,    5.719,    4.554
         6, negativa    ,            2, positiva    ,            2, positiva, neutra  , negativa, negativa, negativa, neutra  , positiva, positiva,   12.926,  108.24 ,    4.675,    8.808,   22.232,    7.104,    8.04 ,   10.01
         7, positiva    ,            3, positiva    ,            3, positiva, positiva, negativa, positiva, positiva, neutra  , positiva, positiva,    2.833,    3.28 ,    2.978,    3.648,    9.476,    3.751,    2.749,    1.999
         8, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    4.92 ,    4.871,    3.186,   32.383,    8.355,    5.403,   32.544,    3.804
         9, negativa    ,            3, neutra      ,            2, negativa, negativa, neutra  , negativa, negativa, positiva, neutra  , neutra  ,    8.189,   10.821,    4.785,    3.991,   15.172,    5.113,   10.871,    9.746
        10, neutra      ,            2, negativa    ,            3, neutra  , neutra  , negativa, negativa, negativa, negativa, negativa, neutra  ,    5.403,    6.905,    3.438,    4.378,    3.028,    5.199,    3.439,    5.008
        11, positiva    ,            3, positiva    ,            3, positiva, negativa, positiva, positiva, positiva, neutra  , positiva, positiva,   14.244,  800.635,    5.306,   28.293,    6.941,    5.385,    5.521,    5.618
        12, neutra      ,            4, neutra      ,            4, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  ,   13.245, 1582.188,    4.88 ,    3.254,    6.239,    5.464,    3.671,    6.162
        13, positiva    ,            3, neutra      ,            2, positiva, positiva, positiva, neutra  , negativa, neutra  , positiva, neutra  ,    8.607,    7.85 ,    6.736,    3.727,   10.155,    5.119,    4.079,    6.632
        14, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, negativa,   14.575,   24.847,    5.93 ,   10.368,    9.016,    3.674,    8.823,   15.105
        15, positiva    ,            2, positiva    ,            2, neutra  , positiva, positiva, negativa, positiva, negativa, positiva, neutra  ,    7.036,   24.452,    3.785,   10.533,   10.872,    4.393,    5.52 ,   11.864
        16, negativa    ,            3, negativa    ,            3, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, negativa,    5.218,    3.903,    2.506,    3.138,    4.105,    4.83 ,    2.903,    6.764
        17, neutra      ,            4, positiva    ,            2, neutra  , neutra  , neutra  , neutra  , positiva, positiva, neutra  , negativa,    4.154,    5.241,    3.284,    3.75 ,    8.124,    2.752,    4.983,    3.657
        18, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, positiva, negativa, negativa,   16.879,   21.023,    3.538,   14.502,   18.098,    2.006,   11.279,    8.464
        19, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, negativa,    9.124,   12.232,   43.874,  147.336,    8.97 ,    0.797,    4.696,   16.691
        20, positiva    ,            2, negativa    ,            2, positiva, neutra  , positiva, negativa, negativa, negativa, positiva, positiva,   20.471,   12.367,    4.394,    5.394,   11.216,    0.753,    6.856,   11.282
        21, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, positiva,    2.58 ,    2.649,    3.012,    2.898,    2.465,    1.891,    2.143,    3.856
        22, positiva    ,            2, positiva    ,            3, positiva, negativa, positiva, neutra  , positiva, positiva, positiva, neutra  ,    4.401,    8.58 ,    7.358,    4.784,   10.755,    0.782,    6.399,    8.056
        23, neutra      ,            3, neutra      ,            2, neutra  , neutra  , negativa, neutra  , neutra  , neutra  , negativa, positiva,    8.394,   12.226,    8.957,    6.428,   17.917,    1.17 ,    8.184,    5.992
        24, neutra      ,            2, positiva    ,            3, neutra  , positiva, positiva, neutra  , positiva, negativa, positiva, positiva,    9.274,    8.436,    9.281,    7.124,    8.839,    0.926,    3.705,    6.589
        25, neutra      ,            2, negativa    ,            3, neutra  , negativa, negativa, neutra  , negativa, negativa, negativa, positiva,    7.94 ,   10.134,    6.82 ,    8.082,   10.121,    0.879,    5.253,    7.401
        26, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva,    2.917,   17.368,    2.3  ,    1.988,    4.033,    0.841,    4.136,    5.622
        27, positiva    ,            3, negativa    ,            2, positiva, positiva, positiva, neutra  , negativa, positiva, positiva, negativa,   10.009,   13.674,    7.558,    4.833,   25.949,    1.19 ,    5.59 ,  144.93
        28, neutra      ,            2, negativa    ,            2, negativa, positiva, neutra  , neutra  , negativa, positiva, negativa, neutra  ,   19.985,   19.067,   10.838,    5.441,   13.235,    0.755,    7.561,    8.308
        29, neutra      ,            3, positiva    ,            3, neutra  , negativa, neutra  , neutra  , positiva, positiva, positiva, negativa,   19.284,   21.284,    6.894,   13.468,   22.517,    0.376, 1917.066,    3.306
        30, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, neutra  ,    8.106,    5.857,    3.949,    7.612,    8.387,    0.829,    6.476,    5.762
        31, neutra      ,            2, positiva    ,            2, neutra  , positiva, positiva, neutra  , positiva, neutra  , positiva, negativa,   10.063,   11.562,    3.141,   12.625,   13.663,    0.395,   67.031,   10.157
        32, negativa    ,            2, positiva    ,            2, negativa, neutra  , negativa, neutra  , positiva, negativa, positiva, negativa,   13.573,   19.459,    7.621,   10.417,   16.188,    0.942,    5.473,   11.504
        33, neutra      ,            3, positiva    ,            2, neutra  , neutra  , negativa, neutra  , neutra  , negativa, positiva, positiva,   16.764,    5.521,    6.581,    3.124,    5.391,    2.401,    6.094,    3.439
        34, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, neutra  , positiva, positiva,    5.838,    6.389,    3.163,    4.393,   14.087,    1.731,    2.527,    4.049
        35, negativa    ,            3, negativa    ,            2, negativa, neutra  , negativa, negativa, negativa, neutra  , negativa, neutra  ,   10.225,   11.066,    3.175,    6.625,    7.975,    0.841,    4.75 ,    7.54
        36, neutra      ,            3, neutra      ,            2, neutra  , neutra  , positiva, neutra  , neutra  , neutra  , positiva, negativa,   13.247,   24.399,    5.113,   10.454,   14.957,    0.931,   14.494,    8.516
        37, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, positiva,    2.934,  138.47 ,    1.999,    3.241,    3.876,    1.046,    1.847,    8.673
        38, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , positiva, neutra  , positiva,    3.501,    7.488,    2.291,    2.104,    2.919,    0.52 ,    3.543,    6.454
        39, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, neutra  , positiva, positiva, positiva,    7.44 ,    8.145,    6.164,   14.339,   19.771,    0.559,   10.855,    4.115
        40, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, negativa, negativa, neutra  ,   11.946,    7.285,    4.449,    9.404,    6.611,   34.269,    3.279,    4.941
        41, neutra      ,            2, positiva    ,            2, neutra  , positiva, positiva, neutra  , positiva, neutra  , positiva, negativa,    5.821,    7.389,    4.67 ,    3.131,    5.708,    0.785,    3.557,    4.163
