Participante,Ordem,Classificação,Tempo Gasto
bc2584302fffead698e1809107a60040,1,positiva,299.2
bc2584302fffead698e1809107a60040,2,positiva,11.47
bc2584302fffead698e1809107a60040,3,negativa,16.59
bc2584302fffead698e1809107a60040,4,neutra,22.17
bc2584302fffead698e1809107a60040,5,positiva,5.72
bc2584302fffead698e1809107a60040,6,positiva,8.04
bc2584302fffead698e1809107a60040,7,positiva,2.75
bc2584302fffead698e1809107a60040,8,positiva,32.54
bc2584302fffead698e1809107a60040,9,neutra,10.87
bc2584302fffead698e1809107a60040,10,negativa,3.44
bc2584302fffead698e1809107a60040,11,positiva,5.52
bc2584302fffead698e1809107a60040,12,neutra,3.67
bc2584302fffead698e1809107a60040,13,positiva,4.08
bc2584302fffead698e1809107a60040,14,negativa,8.82
bc2584302fffead698e1809107a60040,15,positiva,5.52
bc2584302fffead698e1809107a60040,16,negativa,2.9
bc2584302fffead698e1809107a60040,17,neutra,4.98
bc2584302fffead698e1809107a60040,18,negativa,11.28
bc2584302fffead698e1809107a60040,19,negativa,4.7
bc2584302fffead698e1809107a60040,20,positiva,6.86
bc2584302fffead698e1809107a60040,21,negativa,2.14
bc2584302fffead698e1809107a60040,22,positiva,6.4
bc2584302fffead698e1809107a60040,23,negativa,8.18
bc2584302fffead698e1809107a60040,24,positiva,3.7
bc2584302fffead698e1809107a60040,25,negativa,5.25
bc2584302fffead698e1809107a60040,26,neutra,4.14
bc2584302fffead698e1809107a60040,27,positiva,5.59
bc2584302fffead698e1809107a60040,28,negativa,7.56
bc2584302fffead698e1809107a60040,29,positiva,1917.07
bc2584302fffead698e1809107a60040,30,negativa,6.48
bc2584302fffead698e1809107a60040,31,positiva,67.03
bc2584302fffead698e1809107a60040,32,positiva,5.47
bc2584302fffead698e1809107a60040,33,positiva,6.09
bc2584302fffead698e1809107a60040,34,positiva,2.53
bc2584302fffead698e1809107a60040,35,negativa,4.75
bc2584302fffead698e1809107a60040,36,positiva,14.49
bc2584302fffead698e1809107a60040,37,negativa,1.85
bc2584302fffead698e1809107a60040,38,neutra,3.54
bc2584302fffead698e1809107a60040,39,positiva,10.86
bc2584302fffead698e1809107a60040,40,negativa,3.28
bc2584302fffead698e1809107a60040,41,positiva,3.56
bc2584302fffead698e1809107a60040,42,negativa,14.9
bc2584302fffead698e1809107a60040,43,positiva,4.18
bc2584302fffead698e1809107a60040,44,positiva,10.21
bc2584302fffead698e1809107a60040,45,positiva,10.87
bc2584302fffead698e1809107a60040,46,neutra,6.51
bc2584302fffead698e1809107a60040,47,positiva,7.14
bc2584302fffead698e1809107a60040,48,negativa,5.86
bc2584302fffead698e1809107a60040,49,negativa,8.08
bc2584302fffead698e1809107a60040,50,negativa,2.06
bc2584302fffead698e1809107a60040,51,positiva,5.76
bc2584302fffead698e1809107a60040,52,negativa,6.4
bc2584302fffead698e1809107a60040,53,neutra,4.88
bc2584302fffead698e1809107a60040,54,positiva,5.07
