id	frase	0	0
238	"Já são mais de 5 anos que sofro deste mal, perdi muito e venho perdendo cada dia mais, hoje foi um daqueles dias em que pensei em suicídio, mas novamente decidi continuar tentando."	-1	3
239	"Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa."	-1	3
240	"Já fiz e sofri coisas que me fazem sentir um lixo, passei por situações que não se pode desejar nem ao seu pior inimigo, hoje não vou dar detalhes, mas com o decorrer do tempo falarei sobre isso."	-1	3
241	"Estou só, minha esposa passou o dia fora e disse estar na casa de sua mãe, digo que ela disse pois temo estar sendo traído há algum tempo."	-1	3
242	"já magoei minha esposa de tantas formas, que sequer tenho coragem de ligar para ela, mesmo achando que pode estar em um motel com alguém."	-1	3
243	"Não tenho coragem de cobrar fidelidade e isso para um homem é a maior das vergonhas, não sou homem, não sou gente, não sou nada com as drogas."	-1	3
244	"Estou aqui, sentindo o gosto da droga que ainda escorre goela a dentro descendo do meu nariz, estou depressivo, beirando ao desespero e com uma tristeza imensa."	-1	3
245	"Sei que a tristeza excessiva é devido aos efeitos da droga, sei que essa tristeza química vai passar, mas a tristeza real pela vida que levo, esta me acompanha todos os dias."	-1	3
246	"Não sei o que fazer, não sei o que pensar, não sei se vou conseguir sair desta, não sei se quero sair desta."	-1	3
247	"Sei que preciso de ajuda, mas não sei como pedi-la, não sei se tenho coragem de pedir ajuda."	-1	3
248	"Tenho medo de perder meu emprego, tenho medo de perder minha esposa, tenho medo de perder minha vida, tenho medo de perder minha dignidade, tenho medo de perder minha família, tenho medo de perder tudo."	-1	3
249	"Já perdi muito, já perdi dinheiro, já perdi amigos, já perdi a confiança de muitos, já perdi a confiança em mim mesmo."	-1	3
250	"Não sei se vou conseguir sair desta, não sei se quero sair desta, não sei se tenho forças para sair desta."	-1	3
251	"Sei que preciso de ajuda, mas não sei como pedi-la, não sei se tenho coragem de pedir ajuda."	-1	3
252	"Tenho medo de perder meu emprego, tenho medo de perder minha esposa, tenho medo de perder minha vida, tenho medo de perder minha dignidade, tenho medo de perder minha família, tenho medo de perder tudo."	-1	3
253	"Já perdi muito, já perdi dinheiro, já perdi amigos, já perdi a confiança de muitos, já perdi a confiança em mim mesmo."	-1	3
254	"Não sei se vou conseguir sair desta, não sei se quero sair desta, não sei se tenho forças para sair desta."	-1	3
255	"Sei que preciso de ajuda, mas não sei como pedi-la, não sei se tenho coragem de pedir ajuda."	-1	3
256	"Tenho medo de perder meu emprego, tenho medo de perder minha esposa, tenho medo de perder minha vida, tenho medo de perder minha dignidade, tenho medo de perder minha família, tenho medo de perder tudo."	-1	3
257	"Já perdi muito, já perdi dinheiro, já perdi amigos, já perdi a confiança de muitos, já perdi a confiança em mim mesmo."	-1	3
258	"Não sei se vou conseguir sair desta, não sei se quero sair desta, não sei se tenho forças para sair desta."	-1	3
259	"Sei que preciso de ajuda, mas não sei como pedi-la, não sei se tenho coragem de pedir ajuda."	-1	3
260	"Tenho medo de perder meu emprego, tenho medo de perder minha esposa, tenho medo de perder minha vida, tenho medo de perder minha dignidade, tenho medo de perder minha família, tenho medo de perder tudo."	-1	3
261	"Já perdi muito, já perdi dinheiro, já perdi amigos, já perdi a confiança de muitos, já perdi a confiança em mim mesmo."	-1	3
262	"Aquilo me magoou poxa, imagina, magoaria qualquer pessoa, não é mesmo?"	-1	3
263	"Aí quando foi hoje, estávamos na sala eu, minha mãe e meu pai, ai minha mãe disse que eu nunca fazia nada pra ela, nunca estava com boa vontade pra dar opiniões sobre o cabelo dela e tal."	-1	3
264	"Ai contei pro meu pai, o que ela tinha me dito naquele dia, ela falou que é mentira, que eu sou mentirosa e ela não disse nada daquilo."	-1	3
265	"Cara, na boa, isso me deixa furiosa com ela."	-1	3
266	"Pra quê ela mente desse jeito?"	-1	2
267	"E não foi a primeira vez, ela sempre mente."	-1	3
268	"Ela me fala coisas e depois diz que não falou, me chama de mentirosa."	-1	3
269	"Eu gosto muito dela e sei que ela me ama."	1	3
270	"Minha vó faleceu, eu não estou conseguindo lidar com essa situação."	-1	3
271	"Tenho medo de cair em depressão novamente, meu coração tá com um vazio imenso, tento fazer de tudo pra ocupar minha cabeça, passar meu tempo e nada me consola, nada me faz tirar a imagem do último suspiro dela da minha cabeça."	-1	3
272	"Eu te Amo vó, continue a cuidar de mim de onde estiver, obrigada pela vó maravilhosa que foi comigo, por cada gesto de carinho e sorriso."	1	3
