Participante,Ordem,Classificação,Tempo Gasto
bdf066947686ab2cd01768f202816430,1,neutra,5.77
bdf066947686ab2cd01768f202816430,2,positiva,8.32
bdf066947686ab2cd01768f202816430,3,neutra,4.32
bdf066947686ab2cd01768f202816430,4,neutra,24.17
bdf066947686ab2cd01768f202816430,5,neutra,275.18
bdf066947686ab2cd01768f202816430,6,neutra,8.16
bdf066947686ab2cd01768f202816430,7,neutra,3.19
bdf066947686ab2cd01768f202816430,8,positiva,3.38
bdf066947686ab2cd01768f202816430,9,neutra,3.1
bdf066947686ab2cd01768f202816430,10,neutra,4.83
bdf066947686ab2cd01768f202816430,11,positiva,2.83
bdf066947686ab2cd01768f202816430,12,neutra,9.98
bdf066947686ab2cd01768f202816430,13,neutra,2.29
bdf066947686ab2cd01768f202816430,14,negativa,3.92
bdf066947686ab2cd01768f202816430,15,neutra,6.65
bdf066947686ab2cd01768f202816430,16,neutra,5.77
bdf066947686ab2cd01768f202816430,17,positiva,3.42
bdf066947686ab2cd01768f202816430,18,neutra,2.08
bdf066947686ab2cd01768f202816430,19,positiva,9.57
bdf066947686ab2cd01768f202816430,20,negativa,8.82
bdf066947686ab2cd01768f202816430,21,positiva,7.1
bdf066947686ab2cd01768f202816430,22,neutra,1.86
bdf066947686ab2cd01768f202816430,23,positiva,3.52
bdf066947686ab2cd01768f202816430,24,positiva,4.03
bdf066947686ab2cd01768f202816430,25,neutra,7.44
bdf066947686ab2cd01768f202816430,26,neutra,9.08
bdf066947686ab2cd01768f202816430,27,neutra,4.5
bdf066947686ab2cd01768f202816430,28,neutra,4.97
bdf066947686ab2cd01768f202816430,29,positiva,6.19
bdf066947686ab2cd01768f202816430,30,negativa,7.46
bdf066947686ab2cd01768f202816430,31,negativa,10.73
bdf066947686ab2cd01768f202816430,32,neutra,8.53
bdf066947686ab2cd01768f202816430,33,neutra,5.32
bdf066947686ab2cd01768f202816430,34,positiva,2.07
bdf066947686ab2cd01768f202816430,35,neutra,8.8
bdf066947686ab2cd01768f202816430,36,neutra,6.66
bdf066947686ab2cd01768f202816430,37,negativa,6.66
bdf066947686ab2cd01768f202816430,38,neutra,2.44
bdf066947686ab2cd01768f202816430,39,positiva,3.69
bdf066947686ab2cd01768f202816430,40,neutra,4.37
bdf066947686ab2cd01768f202816430,41,negativa,8.23
bdf066947686ab2cd01768f202816430,42,neutra,2.77
bdf066947686ab2cd01768f202816430,43,neutra,1.91
bdf066947686ab2cd01768f202816430,44,negativa,3.47
bdf066947686ab2cd01768f202816430,45,neutra,8.87
bdf066947686ab2cd01768f202816430,46,positiva,5.34
bdf066947686ab2cd01768f202816430,47,positiva,11.91
bdf066947686ab2cd01768f202816430,48,neutra,3.02
bdf066947686ab2cd01768f202816430,49,negativa,9.49
bdf066947686ab2cd01768f202816430,50,neutra,6.32
bdf066947686ab2cd01768f202816430,51,neutra,5.96
bdf066947686ab2cd01768f202816430,52,neutra,2.86
bdf066947686ab2cd01768f202816430,53,positiva,5.57
bdf066947686ab2cd01768f202816430,54,negativa,7.34
bdf066947686ab2cd01768f202816430,55,neutra,9.25
bdf066947686ab2cd01768f202816430,56,neutra,3.25
bdf066947686ab2cd01768f202816430,57,negativa,8.5
bdf066947686ab2cd01768f202816430,58,positiva,3.21
bdf066947686ab2cd01768f202816430,59,neutra,4.96
bdf066947686ab2cd01768f202816430,60,neutra,9.77
bdf066947686ab2cd01768f202816430,61,neutra,2.72
bdf066947686ab2cd01768f202816430,62,neutra,2.54
bdf066947686ab2cd01768f202816430,63,negativa,4.21
bdf066947686ab2cd01768f202816430,64,neutra,3.3
bdf066947686ab2cd01768f202816430,65,neutra,7.36
bdf066947686ab2cd01768f202816430,66,negativa,2.16
bdf066947686ab2cd01768f202816430,67,neutra,3.84
bdf066947686ab2cd01768f202816430,68,neutra,7.14
bdf066947686ab2cd01768f202816430,69,positiva,2.95
bdf066947686ab2cd01768f202816430,70,neutra,3.48
bdf066947686ab2cd01768f202816430,71,neutra,9.11
bdf066947686ab2cd01768f202816430,72,neutra,13.11
bdf066947686ab2cd01768f202816430,73,neutra,2.23
bdf066947686ab2cd01768f202816430,74,neutra,2.26
bdf066947686ab2cd01768f202816430,75,neutra,3.19
bdf066947686ab2cd01768f202816430,76,positiva,7.02
bdf066947686ab2cd01768f202816430,77,negativa,4.75
bdf066947686ab2cd01768f202816430,78,neutra,3.39
bdf066947686ab2cd01768f202816430,79,neutra,3.91
bdf066947686ab2cd01768f202816430,80,neutra,5.28
bdf066947686ab2cd01768f202816430,81,neutra,3.52
bdf066947686ab2cd01768f202816430,82,positiva,4.01
bdf066947686ab2cd01768f202816430,83,neutra,5.86
bdf066947686ab2cd01768f202816430,84,neutra,12.44
bdf066947686ab2cd01768f202816430,85,neutra,3.79
bdf066947686ab2cd01768f202816430,86,neutra,1.59
bdf066947686ab2cd01768f202816430,87,positiva,8.75
bdf066947686ab2cd01768f202816430,88,neutra,6.35
bdf066947686ab2cd01768f202816430,89,negativa,2.91
bdf066947686ab2cd01768f202816430,90,neutra,6.96
bdf066947686ab2cd01768f202816430,91,neutra,2.73
bdf066947686ab2cd01768f202816430,92,neutra,4.9
bdf066947686ab2cd01768f202816430,93,neutra,1.61
bdf066947686ab2cd01768f202816430,94,neutra,2.14
bdf066947686ab2cd01768f202816430,95,negativa,5.22
bdf066947686ab2cd01768f202816430,96,negativa,2.65
bdf066947686ab2cd01768f202816430,97,positiva,4.71
bdf066947686ab2cd01768f202816430,98,negativa,9.13
bdf066947686ab2cd01768f202816430,99,neutra,3.31
bdf066947686ab2cd01768f202816430,100,neutra,7.37
bdf066947686ab2cd01768f202816430,101,neutra,22.88
bdf066947686ab2cd01768f202816430,102,positiva,4.85
bdf066947686ab2cd01768f202816430,103,neutra,2.18
bdf066947686ab2cd01768f202816430,104,neutra,5.56
bdf066947686ab2cd01768f202816430,105,neutra,8.98
bdf066947686ab2cd01768f202816430,106,positiva,3.89
bdf066947686ab2cd01768f202816430,107,neutra,5.73
bdf066947686ab2cd01768f202816430,108,negativa,6.9
bdf066947686ab2cd01768f202816430,109,negativa,6.73
bdf066947686ab2cd01768f202816430,110,neutra,4.46
bdf066947686ab2cd01768f202816430,111,neutra,4.89
bdf066947686ab2cd01768f202816430,112,neutra,1.33
bdf066947686ab2cd01768f202816430,113,neutra,6.09
bdf066947686ab2cd01768f202816430,114,neutra,9.71
bdf066947686ab2cd01768f202816430,115,negativa,6.94
bdf066947686ab2cd01768f202816430,116,negativa,6.56
bdf066947686ab2cd01768f202816430,117,neutra,4.42
bdf066947686ab2cd01768f202816430,118,positiva,11.31
bdf066947686ab2cd01768f202816430,119,positiva,3.8
bdf066947686ab2cd01768f202816430,120,neutra,3.45
bdf066947686ab2cd01768f202816430,121,neutra,1.68
bdf066947686ab2cd01768f202816430,122,negativa,6.52
bdf066947686ab2cd01768f202816430,123,neutra,1.82
bdf066947686ab2cd01768f202816430,124,neutra,1.64
bdf066947686ab2cd01768f202816430,125,neutra,5.07
bdf066947686ab2cd01768f202816430,126,neutra,1.92
bdf066947686ab2cd01768f202816430,127,neutra,7.76
bdf066947686ab2cd01768f202816430,128,positiva,4.95
bdf066947686ab2cd01768f202816430,129,neutra,34.52
bdf066947686ab2cd01768f202816430,130,neutra,3.03
bdf066947686ab2cd01768f202816430,131,neutra,2.8
bdf066947686ab2cd01768f202816430,132,neutra,2.52
bdf066947686ab2cd01768f202816430,133,neutra,4.14
bdf066947686ab2cd01768f202816430,134,negativa,6.71
bdf066947686ab2cd01768f202816430,135,neutra,2.3
bdf066947686ab2cd01768f202816430,136,positiva,11.96
bdf066947686ab2cd01768f202816430,137,positiva,4.99
bdf066947686ab2cd01768f202816430,138,negativa,9.46
bdf066947686ab2cd01768f202816430,139,neutra,6.53
bdf066947686ab2cd01768f202816430,140,neutra,6.5
bdf066947686ab2cd01768f202816430,141,neutra,5.72
bdf066947686ab2cd01768f202816430,142,neutra,1.7
bdf066947686ab2cd01768f202816430,143,neutra,2.1
bdf066947686ab2cd01768f202816430,144,positiva,7.56
bdf066947686ab2cd01768f202816430,145,neutra,3.45
bdf066947686ab2cd01768f202816430,146,neutra,3.07
bdf066947686ab2cd01768f202816430,147,neutra,2.97
bdf066947686ab2cd01768f202816430,148,neutra,2.12
bdf066947686ab2cd01768f202816430,149,neutra,6.64
bdf066947686ab2cd01768f202816430,150,negativa,10.12
9d4072d71ac656dbc367bc6c6ef7381a,1,positiva,10.78
9d4072d71ac656dbc367bc6c6ef7381a,2,positiva,4.88
9d4072d71ac656dbc367bc6c6ef7381a,3,negativa,4.01
9d4072d71ac656dbc367bc6c6ef7381a,4,positiva,6.38
9d4072d71ac656dbc367bc6c6ef7381a,5,positiva,9.79
9d4072d71ac656dbc367bc6c6ef7381a,6,neutra,15.2
9d4072d71ac656dbc367bc6c6ef7381a,7,positiva,2.55
9d4072d71ac656dbc367bc6c6ef7381a,8,positiva,3.85
9d4072d71ac656dbc367bc6c6ef7381a,9,positiva,20.76
9d4072d71ac656dbc367bc6c6ef7381a,10,positiva,2.47
9d4072d71ac656dbc367bc6c6ef7381a,11,positiva,1.99
9d4072d71ac656dbc367bc6c6ef7381a,12,neutra,57.08
9d4072d71ac656dbc367bc6c6ef7381a,13,neutra,11.02
9d4072d71ac656dbc367bc6c6ef7381a,14,positiva,9.6
9d4072d71ac656dbc367bc6c6ef7381a,15,positiva,6.82
9d4072d71ac656dbc367bc6c6ef7381a,16,positiva,146.42
9d4072d71ac656dbc367bc6c6ef7381a,17,positiva,6.85
9d4072d71ac656dbc367bc6c6ef7381a,18,neutra,5.69
9d4072d71ac656dbc367bc6c6ef7381a,19,positiva,6.2
9d4072d71ac656dbc367bc6c6ef7381a,20,negativa,8.52
9d4072d71ac656dbc367bc6c6ef7381a,21,positiva,112.43
9d4072d71ac656dbc367bc6c6ef7381a,22,positiva,4.81
9d4072d71ac656dbc367bc6c6ef7381a,23,positiva,2.62
9d4072d71ac656dbc367bc6c6ef7381a,24,positiva,2.47
9d4072d71ac656dbc367bc6c6ef7381a,25,positiva,8.48
9d4072d71ac656dbc367bc6c6ef7381a,26,neutra,208.46
9d4072d71ac656dbc367bc6c6ef7381a,27,neutra,5.04
9d4072d71ac656dbc367bc6c6ef7381a,28,neutra,131.95
9d4072d71ac656dbc367bc6c6ef7381a,29,neutra,6.52
9d4072d71ac656dbc367bc6c6ef7381a,30,positiva,8.88
9d4072d71ac656dbc367bc6c6ef7381a,31,positiva,5.92
9d4072d71ac656dbc367bc6c6ef7381a,32,positiva,7.53
9d4072d71ac656dbc367bc6c6ef7381a,33,positiva,181.93
9d4072d71ac656dbc367bc6c6ef7381a,34,positiva,1.32
9d4072d71ac656dbc367bc6c6ef7381a,35,neutra,4.47
9d4072d71ac656dbc367bc6c6ef7381a,36,positiva,8.1
9d4072d71ac656dbc367bc6c6ef7381a,37,neutra,6.34
9d4072d71ac656dbc367bc6c6ef7381a,38,positiva,5.27
9d4072d71ac656dbc367bc6c6ef7381a,39,positiva,1.82
9d4072d71ac656dbc367bc6c6ef7381a,40,positiva,2.49
9d4072d71ac656dbc367bc6c6ef7381a,41,neutra,11.2
9d4072d71ac656dbc367bc6c6ef7381a,42,neutra,2.79
9d4072d71ac656dbc367bc6c6ef7381a,43,positiva,2.9
9d4072d71ac656dbc367bc6c6ef7381a,44,positiva,1.74
9d4072d71ac656dbc367bc6c6ef7381a,45,positiva,249.72
9d4072d71ac656dbc367bc6c6ef7381a,46,positiva,18.49
9d4072d71ac656dbc367bc6c6ef7381a,47,positiva,1.84
9d4072d71ac656dbc367bc6c6ef7381a,48,positiva,1.27
9d4072d71ac656dbc367bc6c6ef7381a,49,positiva,2.92
9d4072d71ac656dbc367bc6c6ef7381a,50,negativa,314.83
9d4072d71ac656dbc367bc6c6ef7381a,51,positiva,5.12
9d4072d71ac656dbc367bc6c6ef7381a,52,positiva,8.2
9d4072d71ac656dbc367bc6c6ef7381a,53,positiva,25.44
9d4072d71ac656dbc367bc6c6ef7381a,54,negativa,12.16
9d4072d71ac656dbc367bc6c6ef7381a,55,positiva,5.54
9d4072d71ac656dbc367bc6c6ef7381a,56,neutra,51.84
9d4072d71ac656dbc367bc6c6ef7381a,57,negativa,23.7
9d4072d71ac656dbc367bc6c6ef7381a,58,positiva,3.66
9d4072d71ac656dbc367bc6c6ef7381a,59,neutra,76.05
9d4072d71ac656dbc367bc6c6ef7381a,60,positiva,2.99
9d4072d71ac656dbc367bc6c6ef7381a,61,positiva,2.43
9d4072d71ac656dbc367bc6c6ef7381a,62,negativa,6.6
9d4072d71ac656dbc367bc6c6ef7381a,63,negativa,3.45
9d4072d71ac656dbc367bc6c6ef7381a,64,negativa,4.01
9d4072d71ac656dbc367bc6c6ef7381a,65,positiva,4.78
9d4072d71ac656dbc367bc6c6ef7381a,66,neutra,2.53
9d4072d71ac656dbc367bc6c6ef7381a,67,positiva,3.58
9d4072d71ac656dbc367bc6c6ef7381a,68,positiva,12.5
9d4072d71ac656dbc367bc6c6ef7381a,69,positiva,9.63
9d4072d71ac656dbc367bc6c6ef7381a,70,positiva,6.28
9d4072d71ac656dbc367bc6c6ef7381a,71,positiva,3.13
9d4072d71ac656dbc367bc6c6ef7381a,72,neutra,15.69
9d4072d71ac656dbc367bc6c6ef7381a,73,positiva,2.15
9d4072d71ac656dbc367bc6c6ef7381a,74,neutra,3.22
9d4072d71ac656dbc367bc6c6ef7381a,75,positiva,2.06
9d4072d71ac656dbc367bc6c6ef7381a,76,neutra,6.53
9d4072d71ac656dbc367bc6c6ef7381a,77,positiva,5.74
9d4072d71ac656dbc367bc6c6ef7381a,78,negativa,3.2
9d4072d71ac656dbc367bc6c6ef7381a,79,positiva,4.93
9d4072d71ac656dbc367bc6c6ef7381a,80,positiva,3.84
9d4072d71ac656dbc367bc6c6ef7381a,81,positiva,2.28
9d4072d71ac656dbc367bc6c6ef7381a,82,neutra,15.3
9d4072d71ac656dbc367bc6c6ef7381a,83,positiva,34.18
9d4072d71ac656dbc367bc6c6ef7381a,84,positiva,4.36
9d4072d71ac656dbc367bc6c6ef7381a,85,positiva,48.43
9d4072d71ac656dbc367bc6c6ef7381a,86,positiva,1.64
9d4072d71ac656dbc367bc6c6ef7381a,87,positiva,2.91
9d4072d71ac656dbc367bc6c6ef7381a,88,positiva,2.78
9d4072d71ac656dbc367bc6c6ef7381a,89,positiva,2.37
9d4072d71ac656dbc367bc6c6ef7381a,90,positiva,5.4
9d4072d71ac656dbc367bc6c6ef7381a,91,positiva,4.32
9d4072d71ac656dbc367bc6c6ef7381a,92,positiva,1.84
9d4072d71ac656dbc367bc6c6ef7381a,93,positiva,1.9
9d4072d71ac656dbc367bc6c6ef7381a,94,neutra,3.43
9d4072d71ac656dbc367bc6c6ef7381a,95,positiva,1.78
9d4072d71ac656dbc367bc6c6ef7381a,96,neutra,2.64
9d4072d71ac656dbc367bc6c6ef7381a,97,positiva,1.86
9d4072d71ac656dbc367bc6c6ef7381a,98,negativa,6.77
9d4072d71ac656dbc367bc6c6ef7381a,99,positiva,2.34
9d4072d71ac656dbc367bc6c6ef7381a,100,neutra,5.12
9d4072d71ac656dbc367bc6c6ef7381a,101,neutra,8.81
9d4072d71ac656dbc367bc6c6ef7381a,102,neutra,4.18
9d4072d71ac656dbc367bc6c6ef7381a,103,neutra,2.21
9d4072d71ac656dbc367bc6c6ef7381a,104,positiva,4.68
9d4072d71ac656dbc367bc6c6ef7381a,105,negativa,10.93
9d4072d71ac656dbc367bc6c6ef7381a,106,positiva,2.73
9d4072d71ac656dbc367bc6c6ef7381a,107,positiva,5.18
9d4072d71ac656dbc367bc6c6ef7381a,108,negativa,49.38
9d4072d71ac656dbc367bc6c6ef7381a,109,negativa,112.63
9d4072d71ac656dbc367bc6c6ef7381a,110,negativa,7.28
9d4072d71ac656dbc367bc6c6ef7381a,111,positiva,55.19
9d4072d71ac656dbc367bc6c6ef7381a,112,negativa,2.64
9d4072d71ac656dbc367bc6c6ef7381a,113,positiva,5.79
9d4072d71ac656dbc367bc6c6ef7381a,114,negativa,8.75
9d4072d71ac656dbc367bc6c6ef7381a,115,negativa,113.12
9d4072d71ac656dbc367bc6c6ef7381a,116,negativa,3.14
9d4072d71ac656dbc367bc6c6ef7381a,117,positiva,135.57
9d4072d71ac656dbc367bc6c6ef7381a,118,positiva,4.27
9d4072d71ac656dbc367bc6c6ef7381a,119,positiva,1.51
9d4072d71ac656dbc367bc6c6ef7381a,120,neutra,2.69
9d4072d71ac656dbc367bc6c6ef7381a,121,positiva,1.48
9d4072d71ac656dbc367bc6c6ef7381a,122,positiva,1.91
9d4072d71ac656dbc367bc6c6ef7381a,123,positiva,1.8
9d4072d71ac656dbc367bc6c6ef7381a,124,positiva,1.42
9d4072d71ac656dbc367bc6c6ef7381a,125,positiva,1.18
9d4072d71ac656dbc367bc6c6ef7381a,126,negativa,4.57
9d4072d71ac656dbc367bc6c6ef7381a,127,positiva,2.89
9d4072d71ac656dbc367bc6c6ef7381a,128,positiva,4.58
9d4072d71ac656dbc367bc6c6ef7381a,129,positiva,4.38
9d4072d71ac656dbc367bc6c6ef7381a,130,positiva,2.14
9d4072d71ac656dbc367bc6c6ef7381a,131,positiva,2.89
9d4072d71ac656dbc367bc6c6ef7381a,132,neutra,14.79
9d4072d71ac656dbc367bc6c6ef7381a,133,positiva,3.26
9d4072d71ac656dbc367bc6c6ef7381a,134,negativa,3.69
9d4072d71ac656dbc367bc6c6ef7381a,135,positiva,7.41
9d4072d71ac656dbc367bc6c6ef7381a,136,negativa,11.5
9d4072d71ac656dbc367bc6c6ef7381a,137,positiva,2.75
9d4072d71ac656dbc367bc6c6ef7381a,138,positiva,1.77
9d4072d71ac656dbc367bc6c6ef7381a,139,positiva,2.38
9d4072d71ac656dbc367bc6c6ef7381a,140,positiva,1.68
9d4072d71ac656dbc367bc6c6ef7381a,141,positiva,1.91
9d4072d71ac656dbc367bc6c6ef7381a,142,positiva,4.81
9d4072d71ac656dbc367bc6c6ef7381a,143,neutra,6.22
9d4072d71ac656dbc367bc6c6ef7381a,144,positiva,3.59
9d4072d71ac656dbc367bc6c6ef7381a,145,positiva,1.84
9d4072d71ac656dbc367bc6c6ef7381a,146,neutra,2.4
9d4072d71ac656dbc367bc6c6ef7381a,147,negativa,2.3
9d4072d71ac656dbc367bc6c6ef7381a,148,positiva,1.96
9d4072d71ac656dbc367bc6c6ef7381a,149,positiva,5.26
9d4072d71ac656dbc367bc6c6ef7381a,150,neutra,10.68
bc2584302fffead698e1809107a60040,1,neutra,10.02
bc2584302fffead698e1809107a60040,2,positiva,4.89
bc2584302fffead698e1809107a60040,3,positiva,4.73
bc2584302fffead698e1809107a60040,4,positiva,6.47
bc2584302fffead698e1809107a60040,5,positiva,3.21
bc2584302fffead698e1809107a60040,6,negativa,7.55
bc2584302fffead698e1809107a60040,7,neutra,2.7
bc2584302fffead698e1809107a60040,8,positiva,3.16
bc2584302fffead698e1809107a60040,9,neutra,5.26
bc2584302fffead698e1809107a60040,10,neutra,5.44
bc2584302fffead698e1809107a60040,11,positiva,1.53
