Participante,Ordem,Classificação,Tempo Gasto
bc2584302fffead698e1809107a60040,4,negativa,73202
bc2584302fffead698e1809107a60040,5,negativa,2940
bc2584302fffead698e1809107a60040,6,neutra,1464
bc2584302fffead698e1809107a60040,7,positiva,5582
bc2584302fffead698e1809107a60040,8,negativa,4070
bc2584302fffead698e1809107a60040,9,negativa,1697
bc2584302fffead698e1809107a60040,10,negativa,1237
bc2584302fffead698e1809107a60040,11,positiva,1753
bc2584302fffead698e1809107a60040,12,negativa,2860
bc2584302fffead698e1809107a60040,13,negativa,5911
bc2584302fffead698e1809107a60040,14,positiva,2865
bc2584302fffead698e1809107a60040,15,negativa,3488
bc2584302fffead698e1809107a60040,16,negativa,2886
bc2584302fffead698e1809107a60040,17,positiva,2511
bc2584302fffead698e1809107a60040,18,neutra,14463
bc2584302fffead698e1809107a60040,19,positiva,2864
bc2584302fffead698e1809107a60040,20,negativa,3535
bc2584302fffead698e1809107a60040,21,negativa,6015
bc2584302fffead698e1809107a60040,22,positiva,5304
bc2584302fffead698e1809107a60040,23,negativa,3119
bc2584302fffead698e1809107a60040,24,positiva,4689
bc2584302fffead698e1809107a60040,25,negativa,4061
bc2584302fffead698e1809107a60040,26,neutra,5553
bc2584302fffead698e1809107a60040,27,negativa,3464
bc2584302fffead698e1809107a60040,28,neutra,5014
bc2584302fffead698e1809107a60040,29,positiva,4288
bc2584302fffead698e1809107a60040,30,negativa,3511
bc2584302fffead698e1809107a60040,31,neutra,3286
bc2584302fffead698e1809107a60040,32,negativa,3353
bc2584302fffead698e1809107a60040,33,positiva,1671
bc2584302fffead698e1809107a60040,34,neutra,3088
bc2584302fffead698e1809107a60040,35,positiva,5791
bc2584302fffead698e1809107a60040,36,neutra,6551
bc2584302fffead698e1809107a60040,37,negativa,2631
bc2584302fffead698e1809107a60040,38,neutra,4199
bc2584302fffead698e1809107a60040,39,positiva,3584
bc2584302fffead698e1809107a60040,40,neutra,4016
bc2584302fffead698e1809107a60040,41,positiva,4391
bc2584302fffead698e1809107a60040,42,negativa,4264
bc2584302fffead698e1809107a60040,43,positiva,3424
bc2584302fffead698e1809107a60040,44,negativa,1671
bc2584302fffead698e1809107a60040,45,positiva,5016
bc2584302fffead698e1809107a60040,46,positiva,2551
bc2584302fffead698e1809107a60040,47,positiva,2767
bc2584302fffead698e1809107a60040,48,positiva,2704
bc2584302fffead698e1809107a60040,49,negativa,3437
bc2584302fffead698e1809107a60040,50,negativa,3233
bc2584302fffead698e1809107a60040,51,negativa,3408
bc2584302fffead698e1809107a60040,52,negativa,9366
bc2584302fffead698e1809107a60040,53,positiva,5530
bc2584302fffead698e1809107a60040,54,negativa,4150
bc2584302fffead698e1809107a60040,55,positiva,1378
bc2584302fffead698e1809107a60040,56,positiva,4824
bc2584302fffead698e1809107a60040,57,positiva,3518
bc2584302fffead698e1809107a60040,58,positiva,3232
bc2584302fffead698e1809107a60040,59,positiva,2311
bc2584302fffead698e1809107a60040,60,negativa,2799
bc2584302fffead698e1809107a60040,61,negativa,2143
bc2584302fffead698e1809107a60040,62,neutra,5207
bc2584302fffead698e1809107a60040,63,negativa,2528
bc2584302fffead698e1809107a60040,64,negativa,1721
bc2584302fffead698e1809107a60040,65,negativa,3108
bc2584302fffead698e1809107a60040,66,negativa,2728
bc2584302fffead698e1809107a60040,67,positiva,11191
bc2584302fffead698e1809107a60040,68,negativa,2985
bc2584302fffead698e1809107a60040,69,positiva,5102
