"ParticipantMD5"	"GeneroCod"	"frase"	"Value"	"duracao"
"bc2584302fffead698e1809107a60040"	"m"	"O que você semeia você certamente colherá."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	" Me desculpe, ou melhor, me perdoe por eu não ser a filha dos seus sonhos tao perfeitos, por eu só te decepcionar quando você esperava o maximo de mim."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Obrigado meu Deus pela vida de meu esposo!"	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu era uma criança muito tímida, me lembro que a turma inteira fazia bagunça e eu ficava ali no canto, sozinho sem conversar com ninguém."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Estes seios que não cabem dentro de uma mão, esparramam-se entre os dedos, que torce para que os aperte com firmeza, dedos que entram pelo sutiã, aparecendo pelo decote malicioso da blusa vermelha, e por dentro do sutiã aperta-os com doçura, delicadamente, apalpando e puxando para fora aquilo tudo que por dentro queima e palpita forte."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"No horário do almoço, ele me liga e fala que esta com o maior tesão, nossa meu corpo esquenta, como dispara-se algo em mim no som da voz dele,"	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Depois de mais uma vez ter tido provas de que esse alguém não me quer , decidi que vou esquece-lo."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Portanto peço que ele seja muito feliz para onde for que seja lá prospero."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Fui na casa do meu namorado hoje e ele tinha ido no mercado."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Nunca passei fome e nem tive doença, agradeço a Deus por ter meus dois olhos,"	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Quantas tristezas e decepções eu já passei nessa vida não é mesmo, ainda bem que eu escrevo só pra mim mesmo, pois só eu mesmo sei de tudo que eu já passei, nunca quis compartilhar minha merda de vida com ninguém."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"A Felicidade está sempre batendo a nossa porta, basta abri-la e convidá-la a entrar."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Terreiros errados, guias errados, falta de educação com as pessoas, responsabilidade, falta de atitude, falta de sorte, falta de sair de casa, falta de correr atrás, punheta excessiva, cartas, tarô, trabalhos de aberturas."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"As mãos envolvendo-os enquanto a boca não para de lambê-los como se fosse sorvete, porque quase derretem na boca."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eles não gostam de mim, não acreditam em meu potencial de chegar a ser uma psicóloga, não dão nada por mim, pra eles eu sou a mesma coisa de um rato."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Quem ama não esquece, quem ama não deixa passar."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Ficamos namorando até o meu filho fazer um ano então nos casamos, compramos nossa casa e começamos uma vida juntos."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Ela só se importa em te ver bem."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu só quero que esse dia acabe logo."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Pois é, me orgulho de mim mesma, porque mesmo com todos os problemas, continuo aqui intacta."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"No sábado, dia 28 de julho, foi um sábado maravilhoso."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Odeio sentir preguiça, fico me culpando por não aproveitar o mundo quando fico sem fazer nada, mas nas ultimas semanas sinto grande vontade de dormi e esquecer o mundo ao meu redor."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Seu andar é meio saltitante e alegre, e sempre fazem várias coisas ao mesmo tempo, como estudar vendo TV e falando ao telefone enquanto conversam com você."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Olhei por todos lados do quintal, e sai de pijama pelas ruas de Curitiba te procurando."	"neutra"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu te Amo vó, continue a cuidar de mim de onde estiver, obrigada pela vó maravilhosa que foi comigo, por cada gesto de carinho e sorriso."	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Eu não consigo ver uma loira gostosa na minha frente que eu já me excito!"	"positiva"	""
"bc2584302fffead698e1809107a60040"	"m"	"Agora já é 00:03, estou deprimido, sozinho e incerto de meu futuro."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Gente eu tenho 13 anos e eu nunca beijei em toda a minha VIDA."	"negativa"	""
"bc2584302fffead698e1809107a60040"	"m"	"Hoje prestes a fazer 30 anos, resolvi por um fim nas minhas gordurinhas e levantar a minha autoestima."	"positiva"	""
